99.782,481.48
118.94,472.45
236.79,611.29
297.64,901.41
268.04,730.31
332.55,612.89
135.14,625.3
150.14,392.16
137.08,473.54
188.23,742.19
314.35,662.91
280.29,526.37
74.403,579.94
79.129,284.61
181.26,546.85
139.01,712.18
246.44,571.46
246.39,657.37
358.78,1011
364.99,698.66
183.38,399.08
135.32,656.44
358.96,906.22
130.86,491.49
171.84,476.43
225.35,742.02
139.73,465.86
123.86,455.89
219.64,747
316.05,765.62
194.72,506.88
231.92,711.03
273.28,743.39
154.57,407.36
4.4744,398.42
233.8,620.47
316.9,904.47
234.94,629.83
254.07,603.71
208.09,649.84
154.97,501.92
111.67,384.15
188.74,645.67
299.8,838.36
254.05,680.28
228.97,588.6
201.01,590.46
103.62,405.13
60.399,414.45
273.45,806.12
439.2,1016.8
321.83,637.14
203.1,495.49
115.07,582.22
143.74,507.04
34.285,405.83
181.59,549.31
289.52,829.66
182.39,677.3
211.27,619.85
329.16,881.3
230.39,690.69
169.79,473.38
313.86,841.89
445.16,1142
352.73,725.69
253.42,660.41
249.51,787.99
174.95,522.49
0,286.64
